"CD_MATCH","CD_CLUB","NB_TIR_ALL","NB_BUT_ALL","PCT_BUT_ALL","NB_POTEAU_ALL","PCT_POTEAU_ALL","NB_HORS_CADRE_ALL","PCT_HORS_CADRE_ALL","NB_TIR_CONTRE_ALL","PCT_TIR_CONTRES_ALL","NB_TIR_ARRETES_ALL","PCT_TIR_ARRETES_ALL","NB_TIR_7M","NB_BUT_7M","PCT_BUT_7M","NB_POTEAU_7M","PCT_POTEAU_7M","NB_HORS_CADRE_7M","PCT_HORS_CADRE_7M","NB_TIR_ARRETES_7M","PCT_TIR_ARRETES_7M","NB_TIR_JEU","NB_BUT_JEU","PCT_BUT_JEU","NB_POTEAU_JEU","PCT_POTEAU_JEU","NB_HORS_CADRE_JEU","PCT_HORS_CADRE_JEU","NB_TIR_ARRETES_JEU","PCT_TIR_ARRETES_JEU","NB_TIR_DANS_BUT_VIDE","NB_BUT_DANS_BUT_VIDE","PCT_BUT_DANS_BUT_VIDE","NB_HORS_CADRE_DANS_BUT_VIDE","PCT_HORS_CADRE_DANS_BUT_VIDE","NB_POTEAU_DANS_BUT_VIDE","PCT_POTEAU_DANS_BUT_VIDE","NB_ARRET_ALL","PCT_ARRET_ALL","NB_ARRET_7M","PCT_ARRET_7M","NB_ARRET_JEU","PCT_ARRET_JEU","NB_PDB","NB_BALLON_SORTI","PCT_BALLON_SORTI","NB_FAUTE_OFFENSIVE","PCT_FAUTE_OFFENSIVE","NB_INTERCEPTION","PCT_INTERCEPTION","NB_JEU_PASSIF","PCT_JEU_PASSIF","NB_MARCHE","PCT_MARCHE","NB_PASSAGE_EN_FORCE","PCT_PASSAGE_EN_FORCE","NB_PASSE_INCOMPLETE","PCT_PASSE_INCOMPLETE","NB_PIED","PCT_PIED","NB_REPRISE","PCT_REPRISE","NB_ZONE","PCT_ZONE","NB_FAUTE","NB_NEUTRALISATION","PCT_NEUTRALISATION","NB_2_MINUTES","PCT_2_MINUTES","NB_CARTON_JAUNE","PCT_CARTON_JAUNE","NB_CARTON_ROUGE","PCT_CARTON_ROUGE","NB_CARTON_BLEU","PCT_CARTON_BLEU","MOY_NEUTRA_PAR_ATTAQUE","NB_POSSESSIONS","NB_SECONDE_POSSESSION_ESTIM","NB_ATTAQUE_PLACEE","PCT_ATTAQUE_PLACEE","NB_CONTRE_ATTAQUE","PCT_CONTRE_ATTAQUE","NB_ENGAGEMENT_RAPIDE","PCT_ENGAGEMENT_RAPIDE","NB_MONTEE_DE_BALLE","PCT_MONTEE_DE_BALLE","NB_TRANSITION","PCT_TRANSITION","AVG_DUREE_ATT_PLACEE_s","NB_HPI","NB_HPI_JOUEUR","NB_HPI_JOUEUR_ATTAQUE","NB_HPI_JOUEUR_DEFENSE","NB_HPI_GOAL","NB_HPI_GOAL_GOAL","NB_HPI_GOAL_AUTRE","FG_SCHWENKER","TS_INSERT","TS_UPDATE"
EURO-H_2022_1_1,INTER_FRANCE,56,46,0.8,4,0.1,0,0.0,0,0.0,6,0.1,3,2,15.3,0,0.0,0,0.0,1,0.3,53,44,0.9,4,0.1,0,0.0,5,0.1,0,0,,0,,0,,15,0.3,0,0.0,15,0.3,7,0,0.0,1,0.1,3,0.4,0,0.0,0,0.0,0,0.0,2,0.3,0,0.0,1,0.1,0,0.0,20,15,0.8,4,0.2,1,0.1,0,0.0,0,0.0,0.2500,60,1529.0,49,0.8,12,0.2,0,0.0,0,0.0,0,0.0,21.0,153,119,113,105,134,117,118,1,"2021-06-29 15:34:20",
EURO-H_2022_1_1,INTER_GRECE,51,30,0.6,0,0.0,3,0.1,3,0.1,15,0.3,3,3,10.0,0,0.0,0,0.0,0,0.0,48,27,0.6,0,0.0,3,0.1,15,0.3,0,0,,0,,0,,6,0.1,1,0.3,5,0.1,11,0,0.0,0,0.0,4,0.4,2,0.2,0,0.0,0,0.0,4,0.4,0,0.0,0,0.0,0,0.0,36,31,0.9,5,0.1,0,0.0,0,0.0,0,0.0,0.5167,60,2056.0,54,0.9,4,0.1,0,0.0,1,0.0,0,0.0,23.0,67,95,95,100,72,67,106,1,"2021-06-29 15:34:20",
FR-1-H_1_25_217,FR_DMHB_21000,20,24,120.0,,,,,,,,,1,1,100.0,,,,,,,19,19,,,,,,,,,,,,,,,14,36.8,0,0.0,14,41.2,4,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,"2021-02-08 01:00:00",
FR-1-H_1_25_217,FR_TFHB_93290,74,24,32.4,,,,,,,,,7,6,85.7,,,,,,,67,37,,,,,,,,,,,,,,,5,16.7,0,0.0,5,18.5,9,,,,,,,,,,,,,,,,,,,,,,,,5,,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,"2021-02-08 01:00:00",
FR-1-H_1_25_218,FR_DHBGL_59140,89,28,31.5,,,,,,,,,4,4,100.0,,,,,,,85,41,,,,,,,,,,,,,,,17,40.5,1,33.3,16,43.2,9,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,"2021-02-08 01:00:00",
FR-1-H_1_25_218,FR_FTHB_31000,71,23,32.4,,,,,,,,,6,5,83.3,,,,,,,65,41,,,,,,,,,,,,,,,12,28.6,1,33.3,11,29.7,22,,,,,,,,,,,,,,,,,,,,,,,,4,,4,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,"2021-02-08 01:00:00",
FR-1-H_1_25_219,FR_IPHB_13806,73,24,32.9,,,,,,,,,7,6,85.7,,,,,,,66,28,,,,,,,,,,,,,,,26,31.7,1,20.0,25,33.3,22,,,,,,,,,,,,,,,,,,,,,,,,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,"2021-02-08 01:00:00",
FR-1-H_1_25_219,FR_SRVHB_83700,13,25,192.3,,,,,,,,,0,0,,,,,,,,13,9,,,,,,,,,,,,,,,17,37.8,2,66.7,15,39.5,4,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,"2021-02-08 01:00:00",
FR-1-H_1_25_220,FR_CRMHB_35510,76,27,35.5,,,,,,,,,2,1,50.0,,,,,,,74,46,,,,,,,,,,,,,,,15,28.3,0,0.0,15,30.0,12,,,,,,,,,,,,,,,,,,,,,,,,5,,3,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,"2021-02-08 01:00:00",
FR-1-H_1_25_221,FR_CSMBHB_73000,33,26,78.8,,,,,,,,,3,3,100.0,,,,,,,30,23,,,,,,,,,,,,,,,12,33.3,3,75.0,9,34.6,12,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,"2021-02-08 01:00:00",
