"CD_MATCH","NB_NUMERO","ID_JOUEUR","NB_TIR_ATTAQUE","NB_BUT_ATTAQUE","PCT_BUT_ATTAQUE","NB_POTEAU_ATTAQUE","PCT_POTEAU_ATTAQUE","NB_HORS_CADRE_ATTAQUE","PCT_HORS_CADRE_ATTAQUE","NB_TIR_ARRETES_ATTAQUE","PCT_TIR_ARRETES_ATTAQUE","NB_TIR_CONTRES_PAR_ADVERSAIRE_ATTAQUE","PCT_TIR_CONTRES_PAR_ADVERSAIRE_ATTAQUE","NB_TIR_ATTAQUE_BUT_VIDE","PCT_TIR_ATTAQUE_BUT_VIDE","NB_BUT_ATTAQUE_BUT_VIDE","PCT_BUT_ATTAQUE_BUT_VIDE","NB_POTEAU_ATTAQUE_BUT_VIDE","PCT_POTEAU_ATTAQUE_BUT_VIDE","NB_HORS_CADRE_ATTAQUE_BUT_VIDE","PCT_HORS_CADRE_ATTAQUE_BUT_VIDE","NB_TIR_ALL","NB_BUT_ALL","PCT_BUT_ALL","NB_POTEAU_ALL","PCT_POTEAU_ALL","NB_HORS_CADRE_ALL","PCT_HORS_CADRE_ALL","NB_TIR_ARRETES_ALL","PCT_TIR_ARRETES_ALL","PCT_ARRETS_ALL","NB_TIR_7M","NB_BUT_7M","PCT_BUT_7M","NB_POTEAU_7M","PCT_POTEAU_7M","NB_HORS_CADRE_7M","PCT_HORS_CADRE_7M","NB_TIR_ARRETES_7M","PCT_TIR_ARRETES_7M","PCT_ARRETS_7M","NB_TIR_JEU","NB_BUT_JEU","PCT_BUT_JEU","NB_POTEAU_JEU","PCT_POTEAU_JEU","NB_HORS_CADRE_JEU","PCT_HORS_CADRE_JEU","NB_TIR_ARRETES_JEU","PCT_TIR_ARRETES_JEU","PCT_ARRETS_JEU","NB_TIR_ATTAQUE_PLACEE","NB_BUT_ATTAQUE_PLACEE","PCT_BUT_ATTAQUE_PLACEE","NB_POTEAU_ATTAQUE_PLACEE","PCT_POTEAU_ATTAQUE_PLACEE","NB_HORS_CADRE_ATTAQUE_PLACEE","PCT_HORS_CADRE_ATTAQUE_PLACEE","NB_TIR_ARRETES_ATTAQUE_PLACEE","PCT_TIR_ARRETES_ATTAQUE_PLACEE","PCT_ARRETS_ATTAQUE_PLACEE","NB_TIR_CONTRE_ATTAQUE","NB_BUT_CONTRE_ATTAQUE","PCT_BUT_CONTRE_ATTAQUE","NB_POTEAU_CONTRE_ATTAQUE","PCT_POTEAU_CONTRE_ATTAQUE","NB_HORS_CADRE_CONTRE_ATTAQUE","PCT_HORS_CADRE_CONTRE_ATTAQUE","NB_TIR_ARRETES_CONTRE_ATTAQUE","PCT_TIR_ARRETES_CONTRE_ATTAQUE","PCT_ARRETS_CONTRE_ATTAQUE","NB_PDB_ATTAQUE","NB_BALLON_SORTI_ATTAQUE","PCT_BALLON_SORTI_ATTAQUE","NB_INTERCEPTION_ATTAQUE","PCT_INTERCEPTION_ATTAQUE","NB_PASSE_INCOMPLETE_ATTAQUE","PCT_PASSE_INCOMPLETE_ATTAQUE","NB_INTERCEPTION_DEFENSE","NB_FAUTE_DEFENSE","NB_2_MINUTES_DEFENSE","PCT_2_MINUTES_DEFENSE","NB_CARTON_JAUNE_DEFENSE","PCT_CARTON_JAUNE_DEFENSE","NB_CARTON_ROUGE_DEFENSE","PCT_CARTON_ROUGE_DEFENSE","NB_CARTON_BLEU_DEFENSE","NB_FAUTE_ATTAQUE","NB_2_MINUTES_ATTAQUE","PCT_2_MINUTES_ATTAQUE","NB_CARTON_JAUNE_ATTAQUE","PCT_CARTON_JAUNE_ATTAQUE","NB_CARTON_ROUGE_ATTAQUE","PCT_CARTON_ROUGE_ATTAQUE","NB_CARTON_BLEU_ATTAQUE","PCT_CARTON_BLEU_ATTAQUE","NB_PASSE_DEC","NB_HPI","NB_HPI_GOAL","NB_HPI_AUTRE","FG_SCHWENKER","TS_INSERT","TS_UPDATE"
EURO-H_2022_1_1,"30","19920101_BONNEFOI_KEVIN_EURO-H_2022_INTER_FRANCE",,,,,,,,,,,,,,,,,,,,21,17,0.8,0,0.0,0,0.0,4,0.2,0.2,2,2,1.0,0,0.0,0,0.0,0,0.0,0.0,19,15,0.8,0,0.0,0,0.0,4,0.2,4.3,18,14,0.8,0,0.0,0,0.0,4,0.2,4.3,0,0,,0,,0,,0,,,,,,,,,,0,0,0,,0,,0,,0,,,,,,,,,,0,87,87,100,1,"2021-06-29 15:34:04",
EURO-H_2022_1_1,"92","19920101_DESBONNET_REMI_EURO-H_2022_INTER_FRANCE",,,,,,,,,,,,,,,,,,,,27,13,0.5,0,0.0,3,0.1,11,0.4,0.5,1,1,1.0,0,0.0,0,0.0,0,0.0,0.0,26,12,0.5,0,0.0,3,0.1,11,0.4,11.9,24,10,0.4,0,0.0,3,0.1,11,0.5,12.1,2,2,1.0,0,0.0,0,0.0,0,0.0,0.0,,,,,,,,0,0,0,,0,,0,,0,,,,,,,,,,2,156,146,110,1,"2021-06-29 15:34:04",
EURO-H_2022_1_1,"50","19920101_KOTANIDIS_KONSTANTINOS_EURO-H_2022_INTER_GRECE",0,0,,0,,0,,0,,0,,0,,0,,0,,0,,23,18,0.8,4,0.2,0,0.0,1,0.0,0.1,1,1,1.0,0,0.0,0,0.0,0,0.0,0.0,22,17,0.8,4,0.2,0,0.0,1,0.0,1.1,18,15,0.8,2,0.1,0,0.0,1,0.1,1.1,4,2,0.5,2,0.5,0,0.0,0,0.0,0.0,1,0,0.0,1,1.0,0,0.0,0,0,0,,0,,0,,0,0.0,0,,0,,0,,0,,,54,61,93,1,"2021-06-29 15:34:04",
EURO-H_2022_1_1,"16","19940101_BOUKOVINAS_PETROS_EURO-H_2022_INTER_GRECE",,,,,,,,,,,,,,,,,,,,33,28,0.8,0,0.0,0,0.0,5,0.2,0.2,2,1,0.5,0,0.0,0,0.0,1,0.5,2.0,31,27,0.9,0,0.0,0,0.0,4,0.1,4.1,24,21,0.9,0,0.0,0,0.0,3,0.1,3.1,7,6,0.9,0,0.0,0,0.0,1,0.1,1.2,,,,,,,,0,0,0,,0,,0,,0,,,,,,,,,,1,77,72,105,1,"2021-06-29 15:34:04",
FR-1-H_1_25_217,"00","19740316_POCUCA_DRAGAN_FR-1-H_1_FR_TFHB_93290",,,,,,,,,,,,,,,,,,,,,10,,,,,,2,,0.2,,0,,,,,,0,,,,10,,,,,,2,,0.2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_217,"00","19750414_STOJINOVIC_NEBOSJA_FR-1-H_1_FR_DMHB_21000",,,,,,,,,,,,,,,,,,,,,11,,,,,,4,,0.3,,3,,,,,,0,,0.0,,8,,,,,,4,,0.3,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_217,"00","19760426_KREISS_MATHIEU_FR-1-H_1_FR_DMHB_21000",,,,,,,,,,,,,,,,,,,,,13,,,,,,10,,0.4,,1,,,,,,0,,0.0,,12,,,,,,10,,0.5,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_217,"00","19781021_MIAS_SEBASTIEN_FR-1-H_1_FR_TFHB_93290",,,,,,,,,,,,,,,,,,,,,15,,,,,,3,,0.2,,3,,,,,,0,,0.0,,12,,,,,,3,,0.2,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_218,"00","19740220_ARRIUBERGE_FABIEN_FR-1-H_1_FR_FTHB_31000",,,,,,,,,,,,,,,,,,,,,5,,,,,,3,,0.4,,0,,,,,,0,,,,5,,,,,,3,,0.4,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18",
FR-1-H_1_25_218,"00","19750414_STOJINOVIC_NEBOSJA_FR-1-H_1_FR_DHBGL_59140",,,,,,,,,,,,,,,,,,,,,0,,,,,,1,,1.0,,0,,,,,,0,,,,0,,,,,,1,,1.0,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,,0,,,,,,,,,,,,0,,,,0,"2021-03-01 19:23:18","2021-03-08 00:20:01"
