"LB_COMPETITION","LB_CLUB","NB_PTS","NB_MATCH_JOUE","NB_VICTOIRE","NB_NUL","NB_DEFAITE","NB_BUT_POUR","NB_BUT_CONTRE","NB_GOAL_AVG","TS_INSERT"
CHAMPIONNAT DE FRANCE MASCULIN DE HANDBALL,PARIS SAINT GERMAIN HANDBALL,55,29,27,1,1,1018,765,253,"2021-08-01 14:51:34"
CHAMPIONNAT DE FRANCE MASCULIN DE HANDBALL,MONTPELLIER HANDBALL,50,30,23,4,3,929,819,110,"2021-08-01 14:51:34"
CHAMPIONNAT DE FRANCE MASCULIN DE HANDBALL,HBC NANTES,47,30,22,3,5,925,774,151,"2021-08-01 14:51:34"
CHAMPIONNAT DE FRANCE MASCULIN DE HANDBALL,PAYS D'AIX UNIVERSITE CLUB,40,30,19,2,9,851,789,62,"2021-08-01 14:51:34"
CHAMPIONNAT DE FRANCE MASCULIN DE HANDBALL,USAM NIMES GARD,38,30,17,4,9,883,846,37,"2021-08-01 14:51:34"
CHAMPIONNAT DE FRANCE MASCULIN DE HANDBALL,FENIX TOULOUSE HANDBALL,32,30,15,2,13,866,859,7,"2021-08-01 14:51:34"
CHAMPIONNAT DE FRANCE MASCULIN DE HANDBALL,CHAMBERY SAVOIE MONT BLANC HANDBALL,31,30,12,7,11,819,831,-12,"2021-08-01 14:51:34"
CHAMPIONNAT DE FRANCE MASCULIN DE HANDBALL,SAINT-RAPHAEL VAR HANDBALL,28,30,12,4,14,856,888,-32,"2021-08-01 14:51:34"
CHAMPIONNAT DE FRANCE MASCULIN DE HANDBALL,LIMOGES HANDBALL,27,30,11,5,14,854,925,-71,"2021-08-01 14:51:34"
CHAMPIONNAT DE FRANCE MASCULIN DE HANDBALL,DUNKERQUE HANDBALL GRAND LITTORAL,24,30,10,4,16,774,802,-28,"2021-08-01 14:51:34"
CHAMPIONNAT DE FRANCE MASCULIN DE HANDBALL,C'CHARTRES METROPOLE HANDBALL,22,30,11,0,19,813,873,-60,"2021-08-01 14:51:34"
CHAMPIONNAT DE FRANCE MASCULIN DE HANDBALL,US CRETEIL HANDBALL,22,30,11,0,19,798,844,-46,"2021-08-01 14:51:34"
CHAMPIONNAT DE FRANCE MASCULIN DE HANDBALL,ISTRES PROVENCE HANDBALL,20,30,8,4,18,784,880,-96,"2021-08-01 14:51:34"
CHAMPIONNAT DE FRANCE MASCULIN DE HANDBALL,CESSON RENNES METROPOLE HB,18,30,6,6,18,790,865,-75,"2021-08-01 14:51:34"
CHAMPIONNAT DE FRANCE MASCULIN DE HANDBALL,US IVRY HANDBALL,16,30,7,2,21,780,879,-99,"2021-08-01 14:51:34"
CHAMPIONNAT DE FRANCE MASCULIN DE HANDBALL,TREMBLAY EN FRANCE HANDBALL,8,29,3,2,24,748,849,-101,"2021-08-01 14:51:34"
