"ID_JOUEUR","CD_JOUEUR","CD_SAISON","CD_CLUB","LB_NOM","LB_PRENOM","LB_NATIONALITE","LB_POSTE","LB_GROUPE","DT_NAISSANCE","NB_TAILLE","NB_POIDS","LB_MAIN","TS_INSERT","TS_UPDATE"
"11920120_BRAYERE_GEOFFREY_FR-1-H_1_FR_HBCN_44200","11920120_BRAYERE_GEOFFREY",FR-1-H_1,FR_HBCN_44200,BRAYERE,GEOFFREY,France,Gardien,CF,"1192-01-20",0,0,"","2021-01-07 15:08:26",
"19000100_LINDSKOG_ANTON_JO_2021_INTER_SUEDE","19000100_LINDSKOG_ANTON",JO_2021,INTER_SUEDE,LINDSKOG,ANTON,Suede,Pivot,PRO,"0000-00-00",198,110,Droitier,"2021-07-25 19:25:49",
"19000106_EKBERG_NICLAS_JO_2021_INTER_SUEDE","19000106_EKBERG_NICLAS",JO_2021,INTER_SUEDE,EKBERG,NICLAS,Suede,Ailier Droit,PRO,"0000-00-00",191,89,Gaucher,"2021-07-25 19:25:49",
"19580117_ISAKOVIC_MILE_FR-1-H_6_FR_USCHB_94000","19580117_ISAKOVIC_MILE",FR-1-H_6,FR_USCHB_94000,ISAKOVIC,MILE,Serbie,Arrière Droit,PRO,"1958-01-17",0,0,"","2021-01-07 15:08:26",
"19580117_ISAKOVIC_MILE_FR-1-H_7_FR_USCHB_94000","19580117_ISAKOVIC_MILE",FR-1-H_7,FR_USCHB_94000,ISAKOVIC,MILE,Serbie,Arrière Droit,PRO,"1958-01-17",0,0,"","2021-01-07 15:08:26",
"19581116_CICUT_MICHEL_FR-1-H_6_FR_IPHB_13806","19581116_CICUT_MICHEL",FR-1-H_6,FR_IPHB_13806,CICUT,MICHEL,France,Ailier Droit,PRO,"1958-11-16",0,0,"","2021-01-07 15:08:26",
"19610629_ZOVKO_DRAGAN_FR-1-H_2_FR_USCHB_94000","19610629_ZOVKO_DRAGAN",FR-1-H_2,FR_USCHB_94000,ZOVKO,DRAGAN,France,Ailier Droit,PRO,"1961-06-29",0,0,"","2021-01-07 15:08:26",
"19630129_BASNY_JAN_FR-1-H_4_FR_IPHB_13806","19630129_BASNY_JAN",FR-1-H_4,FR_IPHB_13806,BASNY,JAN,Croatie,Arrière Droit,PRO,"1963-01-29",0,0,"","2021-01-07 15:08:26",
"19630129_BASNY_JAN_FR-1-H_5_FR_IPHB_13806","19630129_BASNY_JAN",FR-1-H_5,FR_IPHB_13806,BASNY,JAN,Croatie,Arrière Droit,PRO,"1963-01-29",0,0,"","2021-01-07 15:08:26",
"19630203_MAILLOT_ERIC_FR-1-H_4_FR_LGHB_93190","19630203_MAILLOT_ERIC",FR-1-H_4,FR_LGHB_93190,MAILLOT,ERIC,France,Pivot,PRO,"1963-02-03",0,0,"","2021-01-07 15:08:26",
