"CD_COMPETITION","CD_SAISON","CD_JOURNEE","LB_JOURNEE","CD_MATCH","ID_MATCH_LOCAL","DT_MATCH","TS_MATCH","LB_MATCH","CD_CLUB_DOMICILE","CD_CLUB_EXTERIEUR","LB_SALLE","LB_ARBITRE_1","LB_ARBITRE_2","LB_DELEGUE","NB_SCORE_DOMICILE","NB_SCORE_EXTERIEUR","LB_RESUME_VIDEO_URL","LB_STAT_URL","LB_REPLAY_URL","TS_INSERT","TS_UPDATE"
"","","","","",0,"0000-00-00","0000-00-00 00:00:00","","","","","","","",0,0,"","","","2021-08-01 14:51:34",
EURO-H,EURO-H_2022,EURO-H_2022_1,QUALIFICATION PHASE 2,EURO-H_2022_1_1,1,"2021-05-02","2021-05-02 18:00:00",FRANCE x GRÈCE,INTER_FRANCE,INTER_GRECE,PALAIS DES SPORTS ROBERT OUBRON,DOYCHINOV GEORGI,GORETSOV YULIAN,DUBEDOUT JEAN-PHILIPPE,46,30,"","","","2021-05-03 14:30:38","2021-05-03 14:54:35"
FR-1-H,FR-1-H_1,FR-1-H_1_25,J01,FR-1-H_1_25_217,217,"2010-09-11","2010-09-11 20:30:00",DIJON x TREMBLAY,FR_DMHB_21000,FR_TFHB_93290,"",CYRIL ROLLAND,JÉRÔME ROLLAND,NON RENSEIGNÉ,24,24,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j01/dijon/tremblay,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_25,J01,FR-1-H_1_25_218,218,"2010-09-11","2010-09-11 20:00:00",DUNKERQUE x TOULOUSE,FR_DHBGL_59140,FR_FTHB_31000,"",OLIVIER BUY,STEVANN PICHON,NON RENSEIGNÉ,28,23,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j01/dunkerque/toulouse,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_25,J01,FR-1-H_1_25_219,219,"2010-09-11","2010-09-11 20:30:00",ISTRES x SAINT-RAPHAEL,FR_IPHB_13806,FR_SRVHB_83700,"",CHARLOTTE BONAVENTURA,JULIE BONAVENTURA,NON RENSEIGNÉ,24,25,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j01/istres/saint-raphael,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_25,J01,FR-1-H_1_25_220,220,"2010-09-08","2010-09-08 20:30:00",MONTPELLIER x CESSON-RENNES,FR_MHB_34000,FR_CRMHB_35510,"",MOURAD BOUNOUARA,RICHARD THOBIE,NON RENSEIGNÉ,38,27,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j01/montpellier/cesson-rennes,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_25,J01,FR-1-H_1_25_221,221,"2010-09-11","2010-09-11 19:00:00",NIMES x CHAMBERY,FR_USAMNG_30918,FR_CSMBHB_73000,"",JEAN-PIERRE MORENO,MICHEL SERRANO,NON RENSEIGNÉ,18,26,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j01/nimes/chambery,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_25,J01,FR-1-H_1_25_222,222,"2010-09-10","2010-09-10 20:30:00",SAINT CYR x NANTES,FR_SCTHB_37540,FR_HBCN_44200,"",FRANCK CHARPENTIER,SÉBASTIEN DUCLOS,NON RENSEIGNÉ,32,29,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j01/saint-cyr/nantes,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_25,J01,FR-1-H_1_25_223,223,"2010-09-09","2010-09-09 20:30:00",PARIS x IVRY,FR_PSGHB_75016,FR_USIHB_94200,"",SAÏD BOUNOUARA,KHALID SAMI,NON RENSEIGNÉ,28,27,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j01/paris/ivry,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_26,J02,FR-1-H_1_26_224,224,"2010-09-17","2010-09-17 20:45:00",CESSON-RENNES x SAINT CYR,FR_CRMHB_35510,FR_SCTHB_37540,"",JEAN-FRANÇOIS BOURGEOIS,PATRICK DENIS,NON RENSEIGNÉ,24,27,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j02/cesson-rennes/saint-cyr,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_26,J02,FR-1-H_1_26_225,225,"2010-09-18","2010-09-18 20:30:00",DIJON x DUNKERQUE,FR_DMHB_21000,FR_DHBGL_59140,"",FRANCK CHARPENTIER,SÉBASTIEN DUCLOS,NON RENSEIGNÉ,26,35,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j02/dijon/dunkerque,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_26,J02,FR-1-H_1_26_226,226,"2010-09-18","2010-09-18 20:00:00",IVRY x NIMES,FR_USIHB_94200,FR_USAMNG_30918,"",CHARLOTTE BONAVENTURA,JULIE BONAVENTURA,NON RENSEIGNÉ,29,28,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j02/ivry/nimes,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_26,J02,FR-1-H_1_26_227,227,"2010-09-18","2010-09-18 20:30:00",NANTES x ISTRES,FR_HBCN_44200,FR_IPHB_13806,"",SAÏD BOUNOUARA,KHALID SAMI,NON RENSEIGNÉ,30,27,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j02/nantes/istres,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_26,J02,FR-1-H_1_26_228,228,"2010-09-16","2010-09-16 20:30:00",TOULOUSE x PARIS,FR_FTHB_31000,FR_PSGHB_75016,"",JEAN-PIERRE MORENO,MICHEL SERRANO,NON RENSEIGNÉ,33,22,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j02/toulouse/paris,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_26,J02,FR-1-H_1_26_229,229,"2010-09-18","2010-09-18 20:00:00",SAINT-RAPHAEL x MONTPELLIER,FR_SRVHB_83700,FR_MHB_34000,"",OLIVIER BUY,STEVANN PICHON,NON RENSEIGNÉ,29,32,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j02/saint-raphael/montpellier,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_26,J02,FR-1-H_1_26_230,230,"2010-09-15","2010-09-15 20:30:00",TREMBLAY x CHAMBERY,FR_TFHB_93290,FR_CSMBHB_73000,"",OLIVIER BUY,STEVANN PICHON,NON RENSEIGNÉ,23,25,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j02/tremblay/chambery,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_27,J03,FR-1-H_1_27_231,231,"2010-09-30","2010-09-30 20:30:00",CHAMBERY x TOULOUSE,FR_CSMBHB_73000,FR_FTHB_31000,"",SAÏD BOUNOUARA,KHALID SAMI,NON RENSEIGNÉ,31,21,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j03/chambery/toulouse,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_27,J03,FR-1-H_1_27_232,232,"2010-10-02","2010-10-02 20:30:00",ISTRES x CESSON-RENNES,FR_IPHB_13806,FR_CRMHB_35510,"",NAOUFEL BOUDHIR,FRÉDÉRIC CHIARONI,NON RENSEIGNÉ,27,26,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j03/istres/cesson-rennes,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_27,J03,FR-1-H_1_27_233,233,"2010-10-02","2010-10-02 20:00:00",NIMES x NANTES,FR_USAMNG_30918,FR_HBCN_44200,"",SIEGFRIED CLAPSON,XAVIER FIESCHI,NON RENSEIGNÉ,22,24,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j03/nimes/nantes,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_27,J03,FR-1-H_1_27_234,234,"2010-10-01","2010-10-01 20:30:00",SAINT CYR x DIJON,FR_SCTHB_37540,FR_DMHB_21000,"",PHILIPPE DUFFET,NON RENSEIGNÉ,NON RENSEIGNÉ,27,33,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j03/saint-cyr/dijon,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_27,J03,FR-1-H_1_27_235,235,"2010-10-02","2010-10-02 20:00:00",DUNKERQUE x PARIS,FR_DHBGL_59140,FR_PSGHB_75016,"",JEAN-FRANÇOIS BOURGEOIS,PATRICK DENIS,NON RENSEIGNÉ,30,27,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j03/dunkerque/paris,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_27,J03,FR-1-H_1_27_236,236,"2010-10-02","2010-10-02 20:00:00",IVRY x SAINT-RAPHAEL,FR_USIHB_94200,FR_SRVHB_83700,"",CYRIL ROLLAND,JÉRÔME ROLLAND,NON RENSEIGNÉ,31,31,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j03/ivry/saint-raphael,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_27,J03,FR-1-H_1_27_237,237,"2010-09-29","2010-09-29 20:30:00",MONTPELLIER x TREMBLAY,FR_MHB_34000,FR_TFHB_93290,"",NORDINE LAZAAR,LAURENT REVERET,NON RENSEIGNÉ,34,20,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j03/montpellier/tremblay,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_28,J04,FR-1-H_1_28_238,238,"2010-10-08","2010-10-08 20:45:00",CESSON-RENNES x NIMES,FR_CRMHB_35510,FR_USAMNG_30918,"",OLIVIER BUY,STEVANN PICHON,NON RENSEIGNÉ,21,21,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j04/cesson-rennes/nimes,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_28,J04,FR-1-H_1_28_239,239,"2010-10-06","2010-10-06 20:00:00",DIJON x CHAMBERY,FR_DMHB_21000,FR_CSMBHB_73000,"",JEAN-FRANÇOIS BOURGEOIS,PATRICK DENIS,NON RENSEIGNÉ,27,28,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j04/dijon/chambery,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_28,J04,FR-1-H_1_28_240,240,"2010-10-09","2010-10-09 20:30:00",NANTES x IVRY,FR_HBCN_44200,FR_USIHB_94200,"",PHILIPPE DUFFET,NON RENSEIGNÉ,NON RENSEIGNÉ,31,31,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j04/nantes/ivry,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_28,J04,FR-1-H_1_28_241,241,"2010-10-08","2010-10-08 20:30:00",PARIS x ISTRES,FR_PSGHB_75016,FR_IPHB_13806,"",CYRIL ROLLAND,JÉRÔME ROLLAND,NON RENSEIGNÉ,29,32,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j04/paris/istres,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_28,J04,FR-1-H_1_28_242,242,"2010-10-05","2010-10-05 20:30:00",TOULOUSE x MONTPELLIER,FR_FTHB_31000,FR_MHB_34000,"",THIERRY DENTZ,DENIS REIBEL,NON RENSEIGNÉ,28,35,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j04/toulouse/montpellier,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_28,J04,FR-1-H_1_28_243,243,"2010-10-09","2010-10-09 20:00:00",TREMBLAY x SAINT CYR,FR_TFHB_93290,FR_SCTHB_37540,"",MOURAD BOUNOUARA,RICHARD THOBIE,NON RENSEIGNÉ,29,21,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j04/tremblay/saint-cyr,"","2021-02-08 17:36:06",
FR-1-H,FR-1-H_1,FR-1-H_1_28,J04,FR-1-H_1_28_244,244,"2010-10-06","2010-10-06 20:30:00",SAINT-RAPHAEL x DUNKERQUE,FR_SRVHB_83700,FR_DHBGL_59140,"",SIEGFRIED CLAPSON,XAVIER FIESCHI,NON RENSEIGNÉ,31,33,"",https://www.lnh.fr/lidl-starligue/calendriers/20102011/d1m/j04/saint-raphael/dunkerque,"","2021-02-08 17:36:06",
