"DT_RUN","LB_EVENT","TS_START","TS_END","NB_ROW"
"2021-01-08",AGG_MATCHs_UPDATES,"2021-01-08 13:00:00","2021-01-08 13:00:00",0
"2021-01-08",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-08 06:00:00","2021-01-08 06:00:00",0
"2021-01-09",AGG_MATCHs_UPDATES,"2021-01-09 13:00:00","2021-01-09 13:00:00",0
"2021-01-09",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-09 06:00:00","2021-01-09 06:00:00",0
"2021-01-10",AGG_MATCHs_UPDATES,"2021-01-10 13:00:00","2021-01-10 13:00:01",0
"2021-01-10",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-10 06:00:01","2021-01-10 06:00:01",0
"2021-01-11",AGG_MATCHs_UPDATES,"2021-01-11 13:00:00","2021-01-11 13:00:01",0
"2021-01-11",DIM_JOUEUR_UPDATES,"2021-01-11 00:20:00","2021-01-11 00:20:02",0
"2021-01-11",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-11 06:00:00","2021-01-11 06:00:01",0
"2021-01-12",AGG_MATCHs_UPDATES,"2021-01-12 13:00:00","2021-01-12 13:00:00",0
"2021-01-12",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-12 06:00:01","2021-01-12 06:00:01",0
"2021-01-13",AGG_MATCHs_UPDATES,"2021-01-13 13:00:00","2021-01-13 13:00:00",0
"2021-01-13",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-13 06:00:00","2021-01-13 06:00:00",0
"2021-01-14",AGG_MATCHs_UPDATES,"2021-01-14 13:00:00","2021-01-14 13:00:00",0
"2021-01-14",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-14 06:00:00","2021-01-14 06:00:00",0
"2021-01-15",AGG_MATCHs_UPDATES,"2021-01-15 13:00:00","2021-01-15 13:00:00",0
"2021-01-15",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-15 06:00:00","2021-01-15 06:00:00",0
"2021-01-16",AGG_MATCHs_UPDATES,"2021-01-16 13:00:00","2021-01-16 13:00:00",0
"2021-01-16",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-16 06:00:00","2021-01-16 06:00:00",0
"2021-01-17",AGG_MATCHs_UPDATES,"2021-01-17 13:00:00","2021-01-17 13:00:00",0
"2021-01-17",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-17 06:00:00","2021-01-17 06:00:00",0
"2021-01-18",AGG_MATCHs_UPDATES,"2021-01-18 13:00:00","2021-01-18 13:00:00",0
"2021-01-18",DIM_JOUEUR_UPDATES,"2021-01-18 00:20:00","2021-01-18 00:20:01",0
"2021-01-18",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-18 06:00:00","2021-01-18 06:00:00",0
"2021-01-19",AGG_MATCHs_UPDATES,"2021-01-19 13:00:00","2021-01-19 13:00:00",0
"2021-01-19",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-19 06:00:00","2021-01-19 06:00:00",0
"2021-01-20",AGG_MATCHs_UPDATES,"2021-01-20 13:00:00","2021-01-20 13:00:00",0
"2021-01-20",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-20 06:00:00","2021-01-20 06:00:00",0
"2021-01-21",AGG_MATCHs_UPDATES,"2021-01-21 13:00:00","2021-01-21 13:00:00",0
"2021-01-21",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-21 06:00:00","2021-01-21 06:00:00",0
"2021-01-22",AGG_MATCHs_UPDATES,"2021-01-22 13:00:00","2021-01-22 13:00:00",0
"2021-01-22",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-22 06:00:00","2021-01-22 06:00:00",0
"2021-01-23",AGG_MATCHs_UPDATES,"2021-01-23 13:00:00","2021-01-23 13:00:00",0
"2021-01-23",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-23 06:00:00","2021-01-23 06:00:00",0
"2021-01-24",AGG_MATCHs_UPDATES,"2021-01-24 13:00:00","2021-01-24 13:00:00",0
"2021-01-24",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-24 06:00:00","2021-01-24 06:00:00",0
"2021-01-25",AGG_MATCHs_UPDATES,"2021-01-25 13:00:00","2021-01-25 13:00:00",0
"2021-01-25",DIM_JOUEUR_UPDATES,"2021-01-25 00:20:00","2021-01-25 00:20:01",0
"2021-01-25",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-25 06:00:00","2021-01-25 06:00:00",0
"2021-01-26",AGG_MATCHs_UPDATES,"2021-01-26 13:00:00","2021-01-26 13:00:00",0
"2021-01-26",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-26 06:00:00","2021-01-26 06:00:00",0
"2021-01-27",AGG_MATCHs_UPDATES,"2021-01-27 13:00:00","2021-01-27 13:00:00",0
"2021-01-27",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-27 06:00:00","2021-01-27 06:00:00",0
"2021-01-28",AGG_MATCHs_UPDATES,"2021-01-28 13:00:00","2021-01-28 13:00:00",0
"2021-01-28",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-28 06:00:00","2021-01-28 06:00:00",0
"2021-01-29",AGG_MATCHs_UPDATES,"2021-01-29 13:00:00","2021-01-29 13:00:00",0
"2021-01-29",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-29 06:00:00","2021-01-29 06:00:00",0
"2021-01-30",AGG_MATCHs_UPDATES,"2021-01-30 13:00:00","2021-01-30 13:00:00",0
"2021-01-30",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-30 06:00:00","2021-01-30 06:00:00",0
"2021-01-31",AGG_MATCHs_UPDATES,"2021-01-31 13:00:01","2021-01-31 13:00:01",0
"2021-01-31",DIM_SAISON_UPDATE_IS_ACTIVE,"2021-01-31 06:00:01","2021-01-31 06:00:01",0
