"CD_MATCH","MOMENTUM","nb_momentums","GAGNE","ECART_POINTS"
"EURO-H_2022_1_1","INTER_FRANCE",13,TRUE,15
"EURO-H_2022_1_1","INTER_GRECE",2,FALSE,-15
"FR-1-H_32_25_5656","FR_CRMHB_35510",7,FALSE,-1
"FR-1-H_32_25_5656","FR_SRVHB_83700",6,TRUE,1
"FR-1-H_32_25_5657","FR_CSMBHB_73000",4,FALSE,-4
"FR-1-H_32_25_5657","FR_FTHB_31000",9,TRUE,4
"FR-1-H_32_25_5658","FR_USCHB_94000",6,TRUE,4
"FR-1-H_32_25_5658","FR_DHBGL_59140",6,FALSE,-4
"FR-1-H_32_25_5659","FR_IPHB_13806",7,TRUE,4
"FR-1-H_32_25_5659","FR_TFHB_93290",5,FALSE,-4
"FR-1-H_32_25_5660","FR_MHB_34000",7,TRUE,7
"FR-1-H_32_25_5660","FR_CCMHB_28000",5,FALSE,-7
"FR-1-H_32_25_5661","FR_HBCN_44200",8,TRUE,6
"FR-1-H_32_25_5661","FR_USIHB_94200",5,FALSE,-6
"FR-1-H_32_25_5662","FR_USAMNG_30918",9,TRUE,7
"FR-1-H_32_25_5662","FR_LHB_87000",4,FALSE,-7
"FR-1-H_32_25_5663","FR_PSGHB_75016",0,NA,NA
"FR-1-H_32_25_5663","FR_PAUC_13100",0,NA,NA
"FR-1-H_32_26_5664","FR_PAUC_13100",8,FALSE,-5
"FR-1-H_32_26_5664","FR_MHB_34000",8,TRUE,5
"FR-1-H_32_26_5665","FR_CCMHB_28000",7,FALSE,-1
"FR-1-H_32_26_5665","FR_HBCN_44200",8,TRUE,1
"FR-1-H_32_26_5666","FR_DHBGL_59140",5,NA,0
"FR-1-H_32_26_5666","FR_IPHB_13806",4,NA,0
"FR-1-H_32_26_5667","FR_USIHB_94200",7,NA,0
"FR-1-H_32_26_5667","FR_SRVHB_83700",7,NA,0
"FR-1-H_32_26_5668","FR_LHB_87000",8,NA,0
"FR-1-H_32_26_5668","FR_USCHB_94000",8,NA,0
"FR-1-H_32_26_5669","FR_PSGHB_75016",9,TRUE,18
"FR-1-H_32_26_5669","FR_CRMHB_35510",3,FALSE,-18
"FR-1-H_32_26_5670","FR_FTHB_31000",7,FALSE,-1
"FR-1-H_32_26_5670","FR_USAMNG_30918",5,TRUE,1
"FR-1-H_32_26_5671","FR_TFHB_93290",5,FALSE,-3
"FR-1-H_32_26_5671","FR_CSMBHB_73000",5,TRUE,3
"FR-1-H_32_27_5672","FR_CRMHB_35510",6,TRUE,2
"FR-1-H_32_27_5672","FR_TFHB_93290",3,FALSE,-2
"FR-1-H_32_27_5673","FR_CSMBHB_73000",5,FALSE,-3
"FR-1-H_32_27_5673","FR_LHB_87000",6,TRUE,3
"FR-1-H_32_27_5674","FR_USCHB_94000",7,TRUE,8
"FR-1-H_32_27_5674","FR_CCMHB_28000",7,FALSE,-8
"FR-1-H_32_27_5675","FR_IPHB_13806",5,FALSE,-6
"FR-1-H_32_27_5675","FR_PAUC_13100",6,TRUE,6
"FR-1-H_32_27_5676","FR_USIHB_94200",4,FALSE,-3
"FR-1-H_32_27_5676","FR_DHBGL_59140",5,TRUE,3
"FR-1-H_32_27_5677","FR_HBCN_44200",7,TRUE,3
"FR-1-H_32_27_5677","FR_FTHB_31000",6,FALSE,-3
"FR-1-H_32_27_5678","FR_USAMNG_30918",5,FALSE,-1
"FR-1-H_32_27_5678","FR_MHB_34000",6,TRUE,1
"FR-1-H_32_27_5679","FR_SRVHB_83700",3,FALSE,-14
"FR-1-H_32_27_5679","FR_PSGHB_75016",10,TRUE,14
"FR-1-H_32_28_5680","FR_PAUC_13100",8,TRUE,1
"FR-1-H_32_28_5680","FR_CSMBHB_73000",6,FALSE,-1
"FR-1-H_32_28_5681","FR_CCMHB_28000",7,FALSE,-3
"FR-1-H_32_28_5681","FR_CRMHB_35510",8,TRUE,3
"FR-1-H_32_28_5682","FR_DHBGL_59140",5,FALSE,-1
"FR-1-H_32_28_5682","FR_SRVHB_83700",6,TRUE,1
"FR-1-H_32_28_5683","FR_LHB_87000",8,NA,0
"FR-1-H_32_28_5683","FR_IPHB_13806",6,NA,0
"FR-1-H_32_28_5684","FR_MHB_34000",8,NA,0
"FR-1-H_32_28_5684","FR_HBCN_44200",7,NA,0
"FR-1-H_32_28_5685","FR_USAMNG_30918",4,FALSE,-2
"FR-1-H_32_28_5685","FR_USCHB_94000",6,TRUE,2
"FR-1-H_32_28_5686","FR_PSGHB_75016",8,TRUE,6
"FR-1-H_32_28_5686","FR_FTHB_31000",4,FALSE,-6
"FR-1-H_32_28_5687","FR_TFHB_93290",7,FALSE,-1
"FR-1-H_32_28_5687","FR_USIHB_94200",5,TRUE,1
"FR-1-H_32_29_5688","FR_CRMHB_35510",0,NA,NA
"FR-1-H_32_29_5688","FR_LHB_87000",0,NA,NA
"FR-1-H_32_29_5689","FR_CSMBHB_73000",0,NA,NA
"FR-1-H_32_29_5689","FR_USAMNG_30918",0,NA,NA
"FR-1-H_32_29_5690","FR_USCHB_94000",4,FALSE,-4
"FR-1-H_32_29_5690","FR_PAUC_13100",7,TRUE,4
"FR-1-H_32_29_5691","FR_IPHB_13806",7,FALSE,-7
"FR-1-H_32_29_5691","FR_MHB_34000",9,TRUE,7
"FR-1-H_32_29_5692","FR_USIHB_94200",4,FALSE,-11
"FR-1-H_32_29_5692","FR_PSGHB_75016",10,TRUE,11
"FR-1-H_32_29_5693","FR_HBCN_44200",10,TRUE,6
"FR-1-H_32_29_5693","FR_TFHB_93290",4,FALSE,-6
"FR-1-H_32_29_5694","FR_SRVHB_83700",8,FALSE,-2
"FR-1-H_32_29_5694","FR_CCMHB_28000",9,TRUE,2
"FR-1-H_32_29_5695","FR_FTHB_31000",5,FALSE,-3
"FR-1-H_32_29_5695","FR_DHBGL_59140",6,TRUE,3
"FR-1-H_32_30_5696","FR_PAUC_13100",8,TRUE,2
"FR-1-H_32_30_5696","FR_USIHB_94200",5,FALSE,-2
"FR-1-H_32_30_5697","FR_CCMHB_28000",4,FALSE,-1
"FR-1-H_32_30_5697","FR_FTHB_31000",7,TRUE,1
"FR-1-H_32_30_5698","FR_USCHB_94000",0,NA,NA
"FR-1-H_32_30_5698","FR_CSMBHB_73000",0,NA,NA
"FR-1-H_32_30_5699","FR_DHBGL_59140",9,TRUE,3
"FR-1-H_32_30_5699","FR_CRMHB_35510",5,FALSE,-3
"FR-1-H_32_30_5700","FR_LHB_87000",8,TRUE,1
"FR-1-H_32_30_5700","FR_HBCN_44200",6,FALSE,-1
"FR-1-H_32_30_5701","FR_MHB_34000",7,TRUE,7
