X_DEPART;Y_DEPART;X_ARRIVEE;Y_ARRIVEE;LB_RESULTAT_DETAIL;ZONE_PASSEUR;ZONE_RECEPTEUR
0.41;0.4;0.64;0.52;BUT;Arrière centre;Avant centre
0.83;0.83;0.21;0.56;BUT;Avant droite;Avant gauche
0.5;0.96;0.48;0.7;BUT;Avant centre;Avant centre
0.22;0.5;0.46;0.53;BUT;Avant gauche;Avant centre
0.34;0.47;0.28;0.55;BUT;Arrière centre;Avant centre
0.82;0.34;0.99;0.07;BUT;Arrière droite;Arrière droite
0.34;0.46;0.45;0.55;BUT;Arrière centre;Avant centre
0.48;0.51;0.3;0.44;BUT;Avant centre;Arrière gauche
0.8;0.52;0.33;0.55;BUT;Avant droite;Avant centre
0.36;0.43;0.21;0.48;BUT;Arrière centre;Arrière gauche
0.73;0.51;0.47;0.55;BUT;Avant centre;Avant centre
0.79;0.46;0.5;0.53;TIR CONTRÉ;Arrière droite;Avant centre
0.75;0.4;0.97;0.12;BUT;Arrière droite;Arrière droite
0.15;0.51;0.66;0.57;BUT;Avant gauche;Avant centre
0.1;0.46;0.49;0.54;ARRÊT;Arrière gauche;Avant centre
0.7;0.55;0.15;0.51;BUT;Avant centre;Avant gauche
0.62;0.56;0.4;0.52;BUT;Avant centre;Avant centre
0.25;0.43;0.75;0.54;BUT;Arrière gauche;Avant droite
0.6;0.54;0.32;0.55;ARRÊT;Avant centre;Avant centre
0.49;0.96;0.87;0.57;BUT;Avant centre;Avant droite
0.42;0.44;0.81;0.53;ARRÊT;Arrière centre;Avant droite
0.75;0.83;0.49;0.54;BUT;Avant droite;Avant centre
0.5;0.52;0.04;0.04;BUT;Avant centre;Arrière gauche
0.21;0.4;0.1;0.47;ARRÊT;Arrière gauche;Arrière gauche
0.84;0.48;0.67;0.56;ARRÊT;Arrière droite;Avant centre
0.49;0.84;0.5;0.47;BUT;Avant centre;Arrière centre
0.17;0.5;0.6;0.59;BUT;Avant gauche;Avant centre
0.4;0.43;0.21;0.43;BUT;Arrière centre;Arrière gauche
0.74;0.47;0.55;0.54;ARRÊT;Arrière droite;Avant centre
0.16;0.7;0.15;0.45;BUT;Avant gauche;Arrière gauche
0.46;0.59;0.08;0.5;HORS CADRE;Avant centre;Avant gauche
0.58;0.83;0.58;0.56;BUT;Avant centre;Avant centre
0.37;0.52;0.76;0.51;HORS CADRE;Avant centre;Avant droite
0.57;0.52;0.97;0.06;BUT;Avant centre;Arrière droite
0.4;0.42;0.35;0.51;BUT;Arrière centre;Avant centre
0.37;0.43;0.77;0.5;BUT;Arrière centre;Avant droite
0.5;0.48;0.2;0.4;BUT;Arrière centre;Arrière gauche
0.48;0.53;0.82;0.5;BUT;Avant centre;Avant droite
0.28;0.42;0.04;0.03;BUT;Arrière gauche;Arrière gauche
0.71;0.49;0.34;0.52;BUT;Arrière droite;Avant centre
0.73;0.5;0.02;0.03;BUT;Avant centre;Arrière gauche
0.51;0.95;0.34;0.47;BUT;Avant centre;Arrière centre
0.51;0.4;0.28;0.42;BUT;Arrière centre;Arrière gauche
0.34;0.51;0.64;0.54;ARRÊT;Avant centre;Avant centre
0.47;0.39;0.35;0.51;ARRÊT;Arrière centre;Avant centre
0.63;0.53;0.1;0.43;BUT;Avant centre;Arrière gauche
0.66;0.41;0.99;0.06;BUT;Arrière droite;Arrière droite
0.21;0.29;0.06;0.1;BUT;Arrière gauche;Arrière gauche
0.68;0.37;0.84;0.39;BUT;Arrière droite;Arrière droite
0.2;0.84;0.82;0.52;POTEAU;Avant gauche;Avant droite
0.75;0.54;0.19;0.49;BUT;Avant droite;Arrière gauche
0.3;0.44;0.09;0.47;HORS CADRE;Arrière gauche;Arrière gauche
0.2;0.3;0.26;0.52;TIR CONTRÉ;Arrière gauche;Avant centre
0.64;0.57;0.38;0.55;BUT;Avant centre;Avant centre
0.2;0.3;0.04;0.03;ARRÊT;Arrière gauche;Arrière gauche
0.51;0.39;0.47;0.53;BUT;Arrière centre;Avant centre
0.36;0.41;0.3;0.5;BUT;Arrière centre;Avant centre
0.5;0.97;0.27;0.44;POTEAU;Avant centre;Arrière gauche
0.3;0.46;0.07;0.16;BUT;Arrière gauche;Arrière gauche
0.07;0.41;0.4;0.56;POTEAU;Arrière gauche;Avant centre
0.5;0.46;0.26;0.49;BUT;Arrière centre;Arrière gauche
0.48;0.61;0.23;0.48;BUT;Avant centre;Arrière gauche
0.56;0.47;0.84;0.4;ARRÊT;Arrière centre;Arrière droite
0.3;0.31;0.08;0.09;BUT;Arrière gauche;Arrière gauche
0.56;0.49;0.29;0.53;BUT;Arrière centre;Avant centre
0.45;0.55;0.09;0.47;BUT;Avant centre;Arrière gauche
0.2;0.37;0.05;0.04;BUT;Arrière gauche;Arrière gauche
0.8;0.49;0.47;0.52;BUT;Arrière droite;Avant centre
0.28;0.48;0.72;0.59;ARRÊT;Arrière gauche;Avant centre
0.89;0.5;0.5;0.71;BUT;Avant droite;Avant centre
0.58;0.47;0.47;0.32;BUT;Arrière centre;Arrière centre
0.89;0.43;0.53;0.51;BUT;Arrière droite;Avant centre
0.58;0.46;0.5;0.32;BUT;Arrière centre;Arrière centre
0.65;0.48;0.38;0.46;BUT;Arrière centre;Arrière centre
