"CD_MATCH","CD_CLUB","CD_CLUB_OTHER","TS_START_SEQUENCE","TS_END_SEQUENCE","DUREE","EST_TIR_DIFFICILE","EST_ACTION_DEF","LB_SEQUENCE_TYPE","LB_RESULTAT_DETAIL","LB_RESULTAT_SECTEUR","EST_TM","SCORE_OFF","SCORE_DEF","SCORE_300_OFF_AV","SCORE_300_DEF_AV","SCORE_300_OFF_AP","SCORE_300_DEF_AP","ETAT_DE_FORME"
"FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700",0,28,28,1,0,"ATTAQUE PLACÉE","TIR DIFFICILE","9-6",0,0,0,NA,NA,3,1,NA
"FR-1-H_32_25_5656","FR_SRVHB_83700","FR_CRMHB_35510",28,36,8,0,1,"ATTAQUE PLACÉE","ARRÊT","12-9",0,0,1,NA,NA,1,4,NA
"FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700",36,74,38,0,0,"ATTAQUE PLACÉE","BUT","12-9",0,1,0,NA,NA,4,1,NA
"FR-1-H_32_25_5656","FR_SRVHB_83700","FR_CRMHB_35510",74,124,50,0,1,"ATTAQUE PLACÉE","INTERCEPTION","12-9",0,0,2,NA,NA,1,5,NA
"FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700",124,130,6,0,1,"CONTRE ATTAQUE","ARRÊT","9-6",0,2,0,NA,NA,5,2,NA
"FR-1-H_32_25_5656","FR_SRVHB_83700","FR_CRMHB_35510",130,144,14,0,1,"ATTAQUE PLACEE","NEUTRALISATION","9-6",0,0,2,NA,NA,2,5,NA
"FR-1-H_32_25_5656","FR_SRVHB_83700","FR_CRMHB_35510",144,166,22,0,1,"ATTAQUE PLACEE","NEUTRALISATION","9-6",0,0,2,NA,NA,2,5,NA
"FR-1-H_32_25_5656","FR_SRVHB_83700","FR_CRMHB_35510",166,188,22,0,0,"ATTAQUE PLACÉE","BUT","12-9",0,0,2,NA,NA,2,6,NA
"FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700",188,229,41,0,1,"ATTAQUE PLACEE","NEUTRALISATION","9-6",0,2,1,NA,NA,6,2,NA
"FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700",240,242,2,NA,0,"JET DE 7M",NA,NA,0,2,1,NA,NA,6,3,NA
"FR-1-H_32_25_5656","FR_SRVHB_83700","FR_CRMHB_35510",242,283,41,0,1,"ATTAQUE PLACÉE","ARRÊT","9-6",0,1,3,NA,NA,3,6,0.25
"FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700",283,321,38,0,1,"ATTAQUE PLACEE","NEUTRALISATION","12-9",0,3,1,NA,NA,6,3,0.75
"FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700",321,335,14,0,0,"ATTAQUE PLACÉE","BUT","12-9",0,3,1,0,0,7,3,0.75
"FR-1-H_32_25_5656","FR_SRVHB_83700","FR_CRMHB_35510",335,350,15,0,0,"ATTAQUE PLACÉE","HORS CADRE","AILE",0,1,4,0,1,3,7,0.25
"FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700",350,363,13,1,0,"ATTAQUE PLACÉE","TIR DIFFICILE","AILE",0,4,1,1,0,7,3,0.75
"FR-1-H_32_25_5656","FR_SRVHB_83700","FR_CRMHB_35510",363,380,17,0,0,"TEMPS MORT","TEMPS MORT",NA,1,1,5,0,1,3,7,0.25
