"CD_MATCH","id_tm_unique","Temps","CD_CLUB_TM","score_equipe_TM","score_autre_equipe_","indice_serie_avant_tm","diff_300s_avant_TM","diff_TM","diff_300s_apres_TM","evolution_score_avant","evolution_score","score_final_equipe_tm","score_final_autre_equipe","vainqueur_final"
"FR-1-H_24_25_1556",1,"12:09","FR_BHBPP_64140",5,9,-2,-4,-4,-6,0,-2,24,50,"FR_MHB_34000"
"FR-1-H_24_25_1556",2,"23:07","FR_BHBPP_64140",7,18,-3,-11,-11,-10,0,1,24,50,"FR_MHB_34000"
"FR-1-H_24_25_1556",3,"26:16","FR_MHB_34000",20,10,-1,10,10,11,0,1,50,24,"FR_MHB_34000"
"FR-1-H_24_25_1556",4,"48:36","FR_BHBPP_64140",20,39,-2,-19,-19,-22,0,-3,24,50,"FR_MHB_34000"
"FR-1-H_24_25_1556",5,"52:47","FR_MHB_34000",43,22,1,21,21,25,0,4,50,24,"FR_MHB_34000"
"FR-1-H_24_25_1557",6,"25:28","FR_USIHB_94200",7,7,-1,0,0,0,0,0,23,20,"FR_USIHB_94200"
"FR-1-H_24_25_1557",7,"29:03","FR_USCHB_94000",8,8,1,0,0,0,0,0,20,23,"FR_USIHB_94200"
"FR-1-H_24_25_1557",8,"53:07","FR_USCHB_94000",17,20,-2,-3,-3,-3,0,0,20,23,"FR_USIHB_94200"
"FR-1-H_24_25_1559",9,"14:54","FR_CRMHB_35510",8,9,-1,-1,-1,-2,0,-1,23,34,"FR_PSGHB_75016"
"FR-1-H_24_25_1559",10,"18:24","FR_PSGHB_75016",10,8,1,2,2,2,0,0,34,23,"FR_PSGHB_75016"
"FR-1-H_24_25_1559",11,"38:05","FR_CRMHB_35510",15,21,-2,-6,-6,-5,0,1,23,34,"FR_PSGHB_75016"
"FR-1-H_24_25_1559",12,"49:14","FR_CRMHB_35510",19,28,-3,-9,-9,-9,0,0,23,34,"FR_PSGHB_75016"
"FR-1-H_24_25_1560",13,"23:15","FR_SAHB_80262",8,9,-2,-1,-1,0,0,1,24,29,"FR_HBCN_44200"
"FR-1-H_24_25_1561",14,"12:13","FR_PAUC_13100",4,8,1,-4,-4,-2,0,2,34,34,"Egalité"
"FR-1-H_24_25_1561",15,"26:10","FR_FTHB_31000",15,16,1,-1,-1,-2,0,-1,34,34,"Egalité"
"FR-1-H_24_25_1561",16,"36:08","FR_FTHB_31000",18,24,-2,-6,-6,-5,0,1,34,34,"Egalité"
"FR-1-H_24_25_1561",17,"48:11","FR_FTHB_31000",26,31,-2,-5,-5,-2,0,3,34,34,"Egalité"
"FR-1-H_24_25_1562",18,"15:04","FR_CSMBHB_73000",6,7,2,-1,-1,-2,0,-1,23,20,"FR_CSMBHB_73000"
"FR-1-H_24_25_1562",19,"21:37","FR_TFHB_93290",8,7,-1,1,1,2,0,1,20,23,"FR_CSMBHB_73000"
"FR-1-H_24_25_1562",20,"37:54","FR_TFHB_93290",13,15,-3,-2,-2,-2,0,0,20,23,"FR_CSMBHB_73000"
"FR-1-H_24_25_1562",21,"49:18","FR_TFHB_93290",17,21,-1,-4,-4,-4,0,0,20,23,"FR_CSMBHB_73000"
"FR-1-H_24_25_1562",22,"54:28","FR_CSMBHB_73000",22,19,1,3,3,3,0,0,23,20,"FR_CSMBHB_73000"
"FR-1-H_24_26_1564",23,"10:10","FR_USCHB_94000",1,6,-2,-5,-5,-5,0,0,18,25,"FR_CRMHB_35510"
"FR-1-H_24_26_1564",24,"17:23","FR_CRMHB_35510",9,3,1,6,6,6,0,0,25,18,"FR_CRMHB_35510"
"FR-1-H_24_26_1564",25,"44:45","FR_CRMHB_35510",19,15,-1,4,4,6,0,2,25,18,"FR_CRMHB_35510"
"FR-1-H_24_26_1564",26,"48:41","FR_USCHB_94000",15,21,-2,-6,-6,-6,0,0,18,25,"FR_CRMHB_35510"
"FR-1-H_24_26_1564",27,"54:13","FR_CRMHB_35510",22,17,-2,5,5,6,0,1,25,18,"FR_CRMHB_35510"
"FR-1-H_24_26_1567",28,"19:15","FR_HBCN_44200",12,15,1,-3,-3,-3,0,0,29,32,"FR_CSMBHB_73000"
"FR-1-H_24_26_1567",29,"28:58","FR_CSMBHB_73000",17,15,-3,2,2,5,0,3,32,29,"FR_CSMBHB_73000"
"FR-1-H_24_26_1567",30,"54:07","FR_HBCN_44200",27,29,-1,-2,-2,-2,0,0,29,32,"FR_CSMBHB_73000"
"FR-1-H_24_26_1567",31,"57:51","FR_HBCN_44200",28,31,-1,-3,-3,-3,0,0,29,32,"FR_CSMBHB_73000"
"FR-1-H_24_26_1567",32,"58:50","FR_CSMBHB_73000",31,28,0,3,3,3,0,0,32,29,"FR_CSMBHB_73000"
"FR-1-H_24_26_1568",33,"08:23","FR_SAHB_80262",2,6,-6,-4,-4,-3,0,1,26,38,"FR_SRVHB_83700"
"FR-1-H_24_26_1568",34,"49:51","FR_SAHB_80262",21,30,-3,-9,-9,-10,0,-1,26,38,"FR_SRVHB_83700"
"FR-1-H_24_27_1570",35,"21:13","FR_PAUC_13100",9,8,-3,1,1,2,0,1,27,29,"FR_SRVHB_83700"
"FR-1-H_24_27_1570",36,"46:28","FR_PAUC_13100",21,22,-1,-1,-1,0,0,1,27,29,"FR_SRVHB_83700"
"FR-1-H_24_27_1570",37,"53:28","FR_PAUC_13100",23,26,-2,-3,-3,-1,0,2,27,29,"FR_SRVHB_83700"
"FR-1-H_24_27_1571",38,"23:01","FR_USCHB_94000",10,14,-2,-4,-4,-3,0,1,26,24,"FR_USCHB_94000"
"FR-1-H_24_27_1571",39,"28:35","FR_BHBPP_64140",15,13,-2,2,2,6,0,4,24,26,"FR_USCHB_94000"
"FR-1-H_24_27_1571",40,"44:42","FR_BHBPP_64140",22,18,-2,4,4,1,0,-3,24,26,"FR_USCHB_94000"
"FR-1-H_24_27_1571",41,"53:28","FR_USCHB_94000",22,23,1,-1,-1,0,0,1,26,24,"FR_USCHB_94000"
"FR-1-H_24_27_1571",42,"57:51","FR_USCHB_94000",24,24,2,0,0,1,0,1,26,24,"FR_USCHB_94000"
"FR-1-H_24_27_1571",43,"58:34","FR_BHBPP_64140",24,25,-1,-1,-1,-2,0,-1,24,26,"FR_USCHB_94000"
"FR-1-H_24_27_1572",44,"06:15","FR_USIHB_94200",0,4,-2,-4,-4,-5,0,-1,21,22,"FR_CSMBHB_73000"
"FR-1-H_24_27_1572",45,"43:59","FR_USIHB_94200",15,16,1,-1,-1,-3,0,-2,21,22,"FR_CSMBHB_73000"
"FR-1-H_24_27_1572",46,"49:49","FR_USIHB_94200",15,19,-5,-4,-4,-3,0,1,21,22,"FR_CSMBHB_73000"
"FR-1-H_24_27_1572",47,"55:41","FR_CSMBHB_73000",21,19,-1,2,2,1,0,-1,22,21,"FR_CSMBHB_73000"
"FR-1-H_24_27_1573",48,"03:38","FR_DHBGL_59140",0,3,-3,-3,-3,-1,0,2,28,25,"FR_DHBGL_59140"
"FR-1-H_24_27_1573",49,"20:45","FR_HBCN_44200",8,10,-3,-2,-2,-2,0,0,25,28,"FR_DHBGL_59140"
"FR-1-H_24_27_1573",50,"41:32","FR_DHBGL_59140",19,19,-1,0,0,0,0,0,28,25,"FR_DHBGL_59140"
"FR-1-H_24_27_1573",51,"49:32","FR_HBCN_44200",22,24,-2,-2,-2,-4,0,-2,25,28,"FR_DHBGL_59140"
"FR-1-H_24_27_1573",52,"55:00","FR_HBCN_44200",23,27,-2,-4,-4,-3,0,1,25,28,"FR_DHBGL_59140"
"FR-1-H_24_27_1573",53,"58:02","FR_DHBGL_59140",27,24,-1,3,3,3,0,0,28,25,"FR_DHBGL_59140"
"FR-1-H_24_27_1574",54,"18:02","FR_PSGHB_75016",7,9,-2,-2,-2,-1,0,1,38,24,"FR_PSGHB_75016"
"FR-1-H_24_27_1574",55,"25:28","FR_MHB_34000",11,12,-2,-1,-1,-2,0,-1,24,38,"FR_PSGHB_75016"
"FR-1-H_24_27_1574",56,"43:28","FR_PSGHB_75016",24,19,-2,5,5,9,0,4,38,24,"FR_PSGHB_75016"
"FR-1-H_24_27_1574",57,"46:49","FR_MHB_34000",19,28,-4,-9,-9,-11,0,-2,24,38,"FR_PSGHB_75016"
"FR-1-H_24_27_1574",58,"52:02","FR_MHB_34000",21,32,-3,-11,-11,-14,0,-3,24,38,"FR_PSGHB_75016"
"FR-1-H_24_27_1575",59,"20:49","FR_CRMHB_35510",8,8,-1,0,0,1,0,1,23,22,"FR_CRMHB_35510"
"FR-1-H_24_27_1575",60,"25:11","FR_SAHB_80262",10,11,-1,-1,-1,-3,0,-2,22,23,"FR_CRMHB_35510"
"FR-1-H_24_27_1575",61,"42:33","FR_CRMHB_35510",18,18,-4,0,0,-1,0,-1,23,22,"FR_CRMHB_35510"
"FR-1-H_24_27_1575",62,"50:27","FR_SAHB_80262",20,18,2,2,2,1,0,-1,22,23,"FR_CRMHB_35510"
"FR-1-H_24_27_1575",63,"58:43","FR_CRMHB_35510",22,22,1,0,0,0,0,0,23,22,"FR_CRMHB_35510"
"FR-1-H_24_27_1575",64,"60:00","FR_SAHB_80262",22,23,1,-1,-1,-1,0,0,22,23,"FR_CRMHB_35510"
"FR-1-H_24_27_1576",65,"14:53","FR_FTHB_31000",5,9,-3,-4,-4,-4,0,0,25,28,"FR_TFHB_93290"
"FR-1-H_24_27_1576",66,"21:48","FR_FTHB_31000",6,12,-3,-6,-6,-6,0,0,25,28,"FR_TFHB_93290"
"FR-1-H_24_27_1576",67,"27:37","FR_TFHB_93290",14,9,-3,5,5,5,0,0,28,25,"FR_TFHB_93290"
"FR-1-H_24_27_1576",68,"44:22","FR_TFHB_93290",21,17,-2,4,4,5,0,1,28,25,"FR_TFHB_93290"
"FR-1-H_24_27_1576",69,"51:30","FR_FTHB_31000",19,25,-2,-6,-6,-5,0,1,25,28,"FR_TFHB_93290"
"FR-1-H_24_28_1577",70,"04:56","FR_CRMHB_35510",1,3,-3,-2,-2,-4,0,-2,27,28,"FR_DHBGL_59140"
"FR-1-H_24_28_1577",71,"14:34","FR_DHBGL_59140",7,4,-2,3,3,4,0,1,28,27,"FR_DHBGL_59140"
"FR-1-H_24_28_1577",72,"50:44","FR_DHBGL_59140",23,21,-4,2,2,2,0,0,28,27,"FR_DHBGL_59140"
"FR-1-H_24_28_1577",73,"58:37","FR_DHBGL_59140",27,25,-1,2,2,3,0,1,28,27,"FR_DHBGL_59140"
"FR-1-H_24_28_1577",74,"59:16","FR_CRMHB_35510",25,28,-1,-3,-3,-1,0,2,27,28,"FR_DHBGL_59140"
"FR-1-H_24_28_1578",75,"13:25","FR_CSMBHB_73000",5,6,-2,-1,-1,-2,0,-1,27,22,"FR_CSMBHB_73000"
