"ID_DOMINATION","CD_MATCH","CD_CLUB_DOMICILE","CD_CLUB_EXTERIEUR","CLUB_MOMENTUM","OTHER_CLUB","DEBUT_DOMINATION","FIN_DOMINATION","SCORE_CLUB_MOMENTUM_AV","SCORE_OTHER_CLUB_AV","SCORE_CLUB_MOMENTUM_AP","SCORE_OTHER_CLUB_AP","ACTION_CREATRICE","NB_TIR_CLUB_MOMENTUM","NB_TIR_OTHER_CLUB","NB_ARRET_CLUB_MOMENTUM","NB_ARRET_OTHER_CLUB","NB_ACTION_DEF_CLUB_MOMENTUM","NB_ACTION_DEF_OTHER_CLUB","NB_TIR_DIFF_CLUB_MOMENTUM","NB_TIR_DIFF_OTHER_CLUB","ECART_AV","ECART_AP","ECART_CREE","DUREE"
"FR-1-H_32_25_5656_1","FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700","FR_CRMHB_35510","FR_SRVHB_83700",00:00:00,02:46:00,0,0,2,0,"TIR DIFFICILE",2,0,1,1,4,1,1,0,0,2,2,166
"FR-1-H_32_25_5656_10","FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700","FR_SRVHB_83700","FR_CRMHB_35510",43:28:00,44:57:00,19,19,21,19,"TIR DIFFICILE",2,0,0,0,0,0,2,0,0,2,2,89
"FR-1-H_32_25_5656_11","FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700","FR_CRMHB_35510","FR_SRVHB_83700",44:57:00,46:13:00,19,21,21,21,"TIR DIFFICILE",2,0,0,0,1,0,1,0,-2,0,2,76
"FR-1-H_32_25_5656_12","FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700","FR_SRVHB_83700","FR_CRMHB_35510",46:13:00,48:13:00,21,21,23,21,"TIR DIFFICILE",2,0,2,0,3,0,1,0,0,2,2,120
"FR-1-H_32_25_5656_13","FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700","FR_CRMHB_35510","FR_SRVHB_83700",53:41:00,55:26:00,24,26,26,26,"TIR DIFFICILE",2,0,0,0,2,0,1,0,-2,0,2,105
"FR-1-H_32_25_5656_2","FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700","FR_CRMHB_35510","FR_SRVHB_83700",04:00:00,06:40:00,2,1,5,1,"INTERCEPTION",2,1,1,0,2,1,1,0,1,4,3,160
"FR-1-H_32_25_5656_3","FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700","FR_CRMHB_35510","FR_SRVHB_83700",10:07:00,12:23:00,6,3,8,3,"ARRÊT",1,0,1,0,4,0,0,0,3,5,2,136
"FR-1-H_32_25_5656_4","FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700","FR_CRMHB_35510","FR_SRVHB_83700",15:58:00,21:49:00,9,5,11,5,"ARRÊT",4,2,2,1,8,2,1,0,4,6,2,351
"FR-1-H_32_25_5656_5","FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700","FR_SRVHB_83700","FR_CRMHB_35510",22:40:00,25:36:00,6,12,9,12,"TIR DIFFICILE",3,0,2,1,2,1,2,0,-6,-3,3,176
"FR-1-H_32_25_5656_6","FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700","FR_SRVHB_83700","FR_CRMHB_35510",26:56:00,29:13:00,9,13,12,13,"PASSAGE EN FORCE",2,0,0,0,4,0,1,0,-4,-1,3,137
"FR-1-H_32_25_5656_7","FR-1-H_32_25_5656","FR_CRMHB_35510","FR_SRVHB_83700","FR_CRMHB_35510","FR_SRVHB_83700",29:13:00,30:24:00,13,12,15,12,"ARRÊT",2,0,0,0,2,0,0,0,1,3,2,71
